Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2021/22

;;;;;;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Svenska;91,6;92,3;90,9;76;36;40;100,0;100,0;100,0;13,7;14,3;13,1;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Engelska;95,9;95,3;96,4;94;41;53;~100;~100;~100;15,1;14,9;15,2;
Bengtsfors;1460;Västra Götalands län;14;Samtliga;Matematik;94,9;93,0;96,4;93;40;53;86,0;~100;..;10,1;11,0;9,4;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Engelska;95,9;95,3;96,4;94;41;53;~100;~100;~100;15,1;14,9;15,2;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Matematik;94,9;93,0;96,4;93;40;53;86,0;~100;..;10,1;11,0;9,4;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Svenska;91,6;92,3;90,9;76;36;40;100,0;100,0;100,0;13,7;14,3;13,1;
Bengtsfors;1460;Västra Götalands län;14;Kommunal;Svenska som andraspråk;93,3;..;90,9;14;..;..;~100;..;..;7,9;..;10,0;
Berg;2326;Jämtlands län;23;Samtliga;Engelska;82,6;81,3;84,1;76;39;37;~100;100,0;~100;15,3;15,1;15,4;
Berg;2326;Jämtlands län;23;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Berg;2326;Jämtlands län;23;Samtliga;Matematik;89,1;85,4;93,2;82;41;41;78,0;73,2;82,9;9,3;8,5;10,1;
Berg;2326;Jämtlands län;23;Samtliga;Svenska;95,3;97,7;92,9;81;42;39;93,8;~100;~100;13,1;14,2;11,9;
Berg;2326;Jämtlands län;23;Kommunal;Engelska;82,6;81,3;84,1;76;39;37;~100;100,0;~100;15,3;15,1;15,4;
Berg;2326;Jämtlands län;23;Kommunal;Matematik;89,1;85,4;93,2;82;41;41;78,0;73,2;82,9;9,3;8,5;10,1;
Berg;2326;Jämtlands län;23;Kommunal;Svenska;95,3;97,7;92,9;81;42;39;93,8;~100;~100;13,1;14,2;11,9;
Berg;2326;Jämtlands län;23;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Bjurholm;2403;Västerbottens län;24;Samtliga;Matematik;87,5;..;89,5;21;..;..;~100;..;~100;13,2;..;13,1;
Bjurholm;2403;Västerbottens län;24;Samtliga;Svenska;95,7;..;100,0;22;..;..;100,0;..;100,0;13,1;..;13,2;
Bjurholm;2403;Västerbottens län;24;Samtliga;Engelska;95,8;..;100,0;23;..;..;100,0;..;100,0;15,7;..;16,1;
Bjurholm;2403;Västerbottens län;24;Kommunal;Svenska;95,7;..;100,0;22;..;..;100,0;..;100,0;13,1;..;13,2;
Bjurholm;2403;Västerbottens län;24;Kommunal;Engelska;95,8;..;100,0;23;..;..;100,0;..;100,0;15,7;..;16,1;
Bjurholm;2403;Västerbottens län;24;Kommunal;Matematik;87,5;..;89,5;21;..;..;~100;..;~100;13,2;..;13,1;
Bjuv;1260;Skåne län;12;Samtliga;Svenska som andraspråk;97,6;100,0;96,4;41;14;27;46,3;..;..;5,1;4,1;5,6;
Bjuv;1260;Skåne län;12;Samtliga;Engelska;86,7;86,0;87,4;150;74;76;91,3;89,2;93,4;14,1;13,5;14,6;
Bjuv;1260;Skåne län;12;Samtliga;Svenska;80,2;77,8;83,1;104;55;49;91,3;..;~100;11,6;11,6;11,6;
Bjuv;1260;Skåne län;12;Samtliga;Matematik;80,3;83,7;77,0;139;72;67;71,2;69,4;73,1;8,6;7,8;9,4;
Bjuv;1260;Skåne län;12;Kommunal;Matematik;80,3;83,7;77,0;139;72;67;71,2;69,4;73,1;8,6;7,8;9,4;
Bjuv;1260;Skåne län;12;Kommunal;Svenska;80,2;77,8;83,1;104;55;49;91,3;..;~100;11,6;11,6;11,6;
Bjuv;1260;Skåne län;12;Kommunal;Svenska som andraspråk;97,6;100,0;96,4;41;14;27;46,3;..;..;5,1;4,1;5,6;
Bjuv;1260;Skåne län;12;Kommunal;Engelska;86,7;86,0;87,4;150;74;76;91,3;89,2;93,4;14,1;13,5;14,6;
Boden;2582;Norrbottens län;25;Samtliga;Svenska som andraspråk;75,0;84,2;66,7;30;16;14;70,0;~100;..;7,8;8,6;7,0;
Boden;2582;Norrbottens län;25;Samtliga;Svenska;87,3;85,7;88,7;234;108;126;96,2;~100;..;13,1;14,2;12,1;
Boden;2582;Norrbottens län;25;Samtliga;Matematik;83,8;85,5;82,2;258;124;134;81,0;78,2;83,6;10,1;10,1;10,1;
Boden;2582;Norrbottens län;25;Samtliga;Engelska;82,8;80,0;85,3;255;116;139;~100;~100;~100;15,3;15,2;15,3;
Boden;2582;Norrbottens län;25;Kommunal;Svenska;83,1;81,6;84,4;147;71;76;93,9;~100;..;12,3;13,3;11,4;
Boden;2582;Norrbottens län;25;Kommunal;Matematik;81,9;83,8;80,2;177;88;89;78,5;73,9;83,1;9,5;9,2;9,9;
Boden;2582;Norrbottens län;25;Kommunal;Engelska;77,8;74,3;81,1;168;78;90;~100;~100;~100;14,5;14,3;14,7;
Boden;2582;Norrbottens län;25;Kommunal;Svenska som andraspråk;74,4;83,3;66,7;29;15;14;72,4;~100;..;8,1;9,2;7,0;
Boden;2582;Norrbottens län;25;Enskild;Engelska;94,6;95,0;94,2;87;38;49;100,0;100,0;100,0;16,7;17,0;16,5;
Boden;2582;Norrbottens län;25;Enskild;Matematik;88,0;90,0;86,5;81;36;45;86,4;~100;..;11,5;12,5;10,6;
Boden;2582;Norrbottens län;25;Enskild;Svenska;95,6;94,9;96,2;87;37;50;100,0;100,0;100,0;14,4;16,0;13,2;
Boden;2582;Norrbottens län;25;Enskild;Svenska som andraspråk;..;..;.;..;..;.;.;.;.;..;..;.;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;.;..;..;..;..;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Svenska;91,5;87,9;94,9;107;51;56;~100;~100;~100;13,6;13,9;13,2;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Engelska;90,9;94,9;87,1;110;56;54;~100;100,0;~100;15,3;15,4;15,1;
Bollebygd;1443;Västra Götalands län;14;Samtliga;Matematik;70,2;67,8;72,6;85;40;45;81,2;75,0;86,7;11,0;9,6;12,2;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Engelska;90,9;94,9;87,1;110;56;54;~100;100,0;~100;15,3;15,4;15,1;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Svenska;91,5;87,9;94,9;107;51;56;~100;~100;~100;13,6;13,9;13,2;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Matematik;70,2;67,8;72,6;85;40;45;81,2;75,0;86,7;11,0;9,6;12,2;
Bollebygd;1443;Västra Götalands län;14;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;.;..;..;..;..;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Svenska;86,7;88,2;85,2;229;120;109;88,6;92,5;84,4;11,3;12,7;9,8;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Svenska som andraspråk;87,5;85,2;92,3;35;23;12;57,1;..;..;7,1;8,6;4,2;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Matematik;77,6;79,1;75,9;236;129;107;75,8;76,7;74,8;9,3;9,7;8,8;
Bollnäs;2183;Gävleborgs län;21;Samtliga;Engelska;82,2;81,0;83,7;250;132;118;94,0;94,7;93,2;14,1;14,6;13,5;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Svenska som andraspråk;90,9;90,5;91,7;30;19;11;60,0;..;..;7,5;9,2;4,5;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Svenska;79,7;81,7;77,9;102;49;53;87,3;~100;..;11,3;13,0;9,8;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Matematik;77,6;82,7;72,5;125;67;58;66,4;65,7;67,2;8,4;8,7;8,0;
Bollnäs;2183;Gävleborgs län;21;Kommunal;Engelska;78,9;77,8;80,0;127;63;64;89,8;88,9;90,6;13,4;13,5;13,4;
Bollnäs;2183;Gävleborgs län;21;Enskild;Engelska;86,0;84,1;88,5;123;69;54;~100;100,0;~100;14,8;15,6;13,7;
Bollnäs;2183;Gävleborgs län;21;Enskild;Matematik;77,6;75,6;80,3;111;62;49;86,5;88,7;83,7;10,3;10,8;9,7;
Bollnäs;2183;Gävleborgs län;21;Enskild;Svenska;93,4;93,4;93,3;127;71;56;89,8;93,0;85,7;11,3;12,4;9,9;
Bollnäs;2183;Gävleborgs län;21;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;.;..;..;..;
Borgholm;0885;Kalmar län;08;Samtliga;Engelska;91,1;93,9;87,8;82;46;36;~100;100,0;~100;14,6;15,3;13,6;
Borgholm;0885;Kalmar län;08;Samtliga;Matematik;88,9;93,9;82,9;80;46;34;87,5;..;~100;11,9;11,9;11,9;
Borgholm;0885;Kalmar län;08;Samtliga;Svenska;94,9;97,7;91,4;74;42;32;91,9;~100;~100;13,0;13,8;12,0;
Borgholm;0885;Kalmar län;08;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borgholm;0885;Kalmar län;08;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Borgholm;0885;Kalmar län;08;Kommunal;Engelska;91,1;93,9;87,8;82;46;36;~100;100,0;~100;14,6;15,3;13,6;
Borgholm;0885;Kalmar län;08;Kommunal;Svenska;94,9;97,7;91,4;74;42;32;91,9;~100;~100;13,0;13,8;12,0;
Borgholm;0885;Kalmar län;08;Kommunal;Matematik;88,9;93,9;82,9;80;46;34;87,5;..;~100;11,9;11,9;11,9;
Borlänge;2081;Dalarnas län;20;Samtliga;Engelska;85,3;84,2;86,3;527;251;276;94,3;92,4;96,0;14,6;14,2;14,9;
Borlänge;2081;Dalarnas län;20;Samtliga;Matematik;85,1;86,2;84,1;526;257;269;77,0;74,3;79,6;9,5;9,0;10,1;
Borlänge;2081;Dalarnas län;20;Samtliga;Svenska som andraspråk;90,7;90,2;91,2;107;55;52;69,2;65,5;73,1;8,1;7,8;8,4;
Borlänge;2081;Dalarnas län;20;Samtliga;Svenska;86,8;83,5;89,7;433;197;236;90,8;95,4;86,9;12,2;13,6;11,1;
Borlänge;2081;Dalarnas län;20;Kommunal;Engelska;85,3;84,2;86,3;441;208;233;94,1;92,3;95,7;14,3;14,0;14,7;
Borlänge;2081;Dalarnas län;20;Kommunal;Matematik;85,7;86,2;85,2;443;213;230;79,0;76,5;81,3;9,9;9,2;10,4;
Borlänge;2081;Dalarnas län;20;Kommunal;Svenska som andraspråk;89,6;88,9;90,4;95;48;47;68,4;64,6;72,3;8,1;7,9;8,3;
Borlänge;2081;Dalarnas län;20;Kommunal;Svenska;86,6;82,4;90,4;355;158;197;88,7;94,3;84,3;12,0;13,5;10,8;
Borlänge;2081;Dalarnas län;20;Enskild;Svenska;87,6;88,6;86,7;78;39;39;100,0;100,0;100,0;13,2;13,7;12,6;
Borlänge;2081;Dalarnas län;20;Enskild;Svenska som andraspråk;100,0;..;..;12;..;..;..;..;..;8,1;..;..;
Borlänge;2081;Dalarnas län;20;Enskild;Matematik;82,2;86,3;78,0;83;44;39;66,3;63,6;69,2;7,8;7,7;7,9;
Borlänge;2081;Dalarnas län;20;Enskild;Engelska;85,1;84,3;86,0;86;43;43;~100;~100;~100;15,8;15,4;16,2;
Borås;1490;Västra Götalands län;14;Samtliga;Svenska;91,0;90,3;91,8;966;496;470;94,3;97,6;90,9;12,8;13,9;11,6;
