Statistik från Skolverket, https://www.skolverket.se

Grundskola - Behörighet till gymnasieskolan, fr.o.m. 2011
Valt läsår: 2024/25

Inför nya gymnasieskolan 2011 skärptes kraven för behörighet att söka till gymnasiet. Det innebär för att en elev ska vara behörig till
gymnasieskolans nationella program krävs 8 godkända betyg för yrkesprogram och 12 godkända betyg för högskoleförberedande program.
Det finns dessutom 3 olika behörighetskrav beroende på vilket högskoleförberedande program.

Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Kön;Antal elever;Andel (%) elever behöriga till yrkesprog.;Andel elever (%) behöriga till estetiskt program;Andel elever (%) behöriga till Ekonomi-, humanistiska och samhällsvetenskaps- program;Andel elever (%) behöriga till Naturvetenskapligt och tekniskt program;
Enköping;0381;Uppsala län;03;Samtliga;Flickor;310;83,9;82,6;81,3;79,7;
Enköping;0381;Uppsala län;03;Samtliga;Pojkar;299;82,3;79,3;77,3;73,9;
Enköping;0381;Uppsala län;03;Samtliga;Samtliga;609;83,1;81,0;79,3;76,8;
Enköping;0381;Uppsala län;03;Kommunal;Flickor;197;81,7;80,2;79,7;77,7;
Enköping;0381;Uppsala län;03;Kommunal;Pojkar;211;82,5;79,1;77,3;73,0;
Enköping;0381;Uppsala län;03;Kommunal;Samtliga;408;82,1;79,7;78,4;75,2;
Enköping;0381;Uppsala län;03;Enskild;Flickor;113;87,6;86,7;84,1;83,2;
Enköping;0381;Uppsala län;03;Enskild;Pojkar;88;81,8;79,5;77,3;76,1;
Enköping;0381;Uppsala län;03;Enskild;Samtliga;201;85,1;83,6;81,1;80,1;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Flickor;692;85,5;83,7;79,8;78,5;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Pojkar;702;87,2;85,8;82,5;81,1;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Samtliga;1 394;86,4;84,7;81,1;79,8;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Flickor;515;82,7;81,0;77,7;75,7;
