Statistik från Skolverket, https://www.skolverket.se

Grundskola - Personalstatistik med lärarlegitimation och behörighet
Valt läsår: 2021/22
Valt uttag: 2022-02-11

Från och med läsåret 2024/25 redovisas ingen statistik som baseras på färre än 3 st heltidstjänster för lärare.

;;;;;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Heltidstjänster;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;#Tjänstgörande lärare;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Totalt antal;Antal med lärarlegitimation och behörighet;Andel med lärarlegitimation och behörighet;Förstelärare;Totalt antal;Antal med lärarlegitimation och behörighet i minst ett ämne;Andel med lärarlegitimation och behörighet i minst ett ämne;Förstelärare;
Nordmaling;2401;Västerbottens län;24;Samtliga;58,7;47,8;81,5;4,1;69;60;87,0;6;
Nordmaling;2401;Västerbottens län;24;Kommunal;58,7;47,8;81,5;4,1;69;60;87,0;6;
Norrköping;0581;Östergötlands län;05;Samtliga;1 188,0;805,7;67,8;134,8;1 370;1 046;76,4;143;
Norrköping;0581;Östergötlands län;05;Kommunal;998,9;681,8;68,3;115,5;1 147;886;77,2;121;
Norrköping;0581;Östergötlands län;05;Enskild;189,1;123,9;65,5;19,3;223;160;71,7;22;
Norrtälje;0188;Stockholms län;01;Samtliga;399,8;265,6;66,4;35,7;474;350;73,8;38;
Norrtälje;0188;Stockholms län;01;Kommunal;302,5;207,8;68,7;24,1;350;268;76,6;25;
Norrtälje;0188;Stockholms län;01;Enskild;97,2;57,8;59,5;11,7;127;82;64,6;13;
Norsjö;2417;Västerbottens län;24;Samtliga;36,3;24,5;67,6;2,5;43;29;67,4;4;
Norsjö;2417;Västerbottens län;24;Kommunal;36,3;24,5;67,6;2,5;43;29;67,4;4;
Nybro;0881;Kalmar län;08;Samtliga;162,0;116,8;72,1;15,3;203;174;85,7;17;
Nybro;0881;Kalmar län;08;Kommunal;153,5;111,6;72,7;15,3;190;165;86,8;17;
Nybro;0881;Kalmar län;08;Enskild;8,5;5,2;61,4;.;14;9;64,3;.;
Nykvarn;0140;Stockholms län;01;Samtliga;104,3;76,9;73,8;13,0;112;91;81,3;13;
Nykvarn;0140;Stockholms län;01;Kommunal;104,3;76,9;73,8;13,0;112;91;81,3;13;
Nyköping;0480;Södermanlands län;04;Samtliga;443,8;291,0;65,6;45,7;518;368;71,0;49;
Nyköping;0480;Södermanlands län;04;Kommunal;326,4;214,5;65,7;32,1;375;270;72,0;35;
Nyköping;0480;Södermanlands län;04;Enskild;117,4;76,5;65,2;13,6;146;98;67,1;14;
Nynäshamn;0192;Stockholms län;01;Samtliga;171,2;102,0;59,6;18,8;196;133;67,9;21;
Nynäshamn;0192;Stockholms län;01;Kommunal;168,7;101,3;60,0;18,8;193;131;67,9;21;
Nynäshamn;0192;Stockholms län;01;Enskild;2,5;0,7;29,0;.;3;2;66,7;.;
Nässjö;0682;Jönköpings län;06;Samtliga;292,7;199,7;68,2;15,6;350;268;76,6;25;
Nässjö;0682;Jönköpings län;06;Kommunal;292,7;199,7;68,2;15,6;350;268;76,6;25;
Ockelbo;2101;Gävleborgs län;21;Samtliga;34,5;20,7;59,9;1,9;43;26;60,5;2;
Ockelbo;2101;Gävleborgs län;21;Kommunal;34,5;20,7;59,9;1,9;43;26;60,5;2;
Olofström;1060;Blekinge län;10;Samtliga;112,5;82,5;73,3;12,0;129;99;76,7;13;
Olofström;1060;Blekinge län;10;Kommunal;112,5;82,5;73,3;12,0;129;99;76,7;13;
Orsa;2034;Dalarnas län;20;Samtliga;52,7;33,5;63,6;7,6;62;41;66,1;8;
Orsa;2034;Dalarnas län;20;Kommunal;49,4;31,7;64,1;6,6;56;39;69,6;7;
Orsa;2034;Dalarnas län;20;Enskild;3,3;1,8;55,2;1,0;6;2;33,3;1;
