Statistik från Skolverket, https://www.skolverket.se

Grundskola - Resultat nationella prov årskurs 9, provbetyg per kön - Engelska, Matematik och Svenska/svenska som andraspråk
Valt läsår: 2023/24

;;;;;;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Antal elever med provbetyg A-F;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Andel (%) med provbetyg A-E;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Genomsnittlig betygspoäng;Andel (%) elever som deltagit;Andel (%) elever som deltagit;Andel (%) elever som deltagit;
Kommun;Kommun-kod;Län;Läns-kod;Typ av huvudman;Ämne;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;Totalt;Flickor;Pojkar;
Borås;1490;Västra Götalands län;14;Enskild;Svenska;251;137;114;94,8;96,4;93,0;13,6;14,2;12,9;96,2;97,9;94,3;
Borås;1490;Västra Götalands län;14;Enskild;Matematik;277;150;127;88,4;86,7;90,6;12,2;11,8;12,8;94,5;96,2;92,7;
Borås;1490;Västra Götalands län;14;Enskild;Engelska;283;153;130;~100;~100;~100;16,8;16,6;17,0;96,6;98,1;94,9;
Borås;1490;Västra Götalands län;14;Enskild;Svenska som andraspråk;30;16;14;83,3;~100;~100;10,6;9,7;11,6;96,8;100,0;93,3;
Botkyrka;0127;Stockholms län;01;Samtliga;Engelska;1 055;510;545;95,7;95,1;96,3;15,2;15,1;15,3;92,1;92,9;91,4;
Botkyrka;0127;Stockholms län;01;Samtliga;Matematik;1 035;497;538;79,0;75,3;82,5;10,2;9,8;10,6;90,4;90,5;90,3;
Botkyrka;0127;Stockholms län;01;Samtliga;Svenska som andraspråk;346;167;179;76,6;80,8;72,6;9,3;10,1;8,5;91,1;93,8;88,6;
Botkyrka;0127;Stockholms län;01;Samtliga;Svenska;719;349;370;93,6;95,1;92,2;13,0;13,8;12,3;94,0;94,1;93,9;
Botkyrka;0127;Stockholms län;01;Kommunal;Engelska;833;386;447;95,0;93,8;96,0;15,1;15,0;15,3;90,7;91,5;90,1;
Botkyrka;0127;Stockholms län;01;Kommunal;Svenska;551;251;300;92,7;94,0;91,7;12,8;13,6;12,2;93,5;93,0;94,0;
Botkyrka;0127;Stockholms län;01;Kommunal;Matematik;817;373;444;79,2;74,8;82,9;10,3;9,8;10,6;89,0;88,4;89,5;
Botkyrka;0127;Stockholms län;01;Kommunal;Svenska som andraspråk;296;142;154;73,6;78,2;69,5;8,9;9,6;8,2;90,0;93,4;87,0;
Botkyrka;0127;Stockholms län;01;Enskild;Svenska som andraspråk;50;25;25;~100;~100;~100;11,7;12,7;10,7;98,0;96,2;100,0;
Botkyrka;0127;Stockholms län;01;Enskild;Svenska;168;98;70;96,4;~100;~100;13,7;14,4;12,7;95,5;97,0;93,3;
Botkyrka;0127;Stockholms län;01;Enskild;Engelska;222;124;98;~100;~100;~100;15,5;15,5;15,4;97,8;97,6;98,0;
Botkyrka;0127;Stockholms län;01;Enskild;Matematik;218;124;94;78,4;76,6;80,9;9,9;9,5;10,4;96,0;97,6;94,0;
Boxholm;0560;Östergötlands län;05;Samtliga;Svenska;45;26;19;100,0;100,0;100,0;13,4;14,6;11,8;90,0;92,9;86,4;
Boxholm;0560;Östergötlands län;05;Samtliga;Matematik;52;30;22;82,7;~100;..;11,0;11,7;10,0;94,5;96,8;91,7;
Boxholm;0560;Östergötlands län;05;Samtliga;Engelska;48;28;20;~100;100,0;~100;15,3;15,5;14,9;87,3;90,3;83,3;
Boxholm;0560;Östergötlands län;05;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Boxholm;0560;Östergötlands län;05;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Boxholm;0560;Östergötlands län;05;Kommunal;Svenska;45;26;19;100,0;100,0;100,0;13,4;14,6;11,8;90,0;92,9;86,4;
Boxholm;0560;Östergötlands län;05;Kommunal;Matematik;52;30;22;82,7;~100;..;11,0;11,7;10,0;94,5;96,8;91,7;
Boxholm;0560;Östergötlands län;05;Kommunal;Engelska;48;28;20;~100;100,0;~100;15,3;15,5;14,9;87,3;90,3;83,3;
Bromölla;1272;Skåne län;12;Samtliga;Svenska;91;41;50;91,2;~100;..;11,9;13,2;10,8;91,9;89,1;94,3;
Bromölla;1272;Skåne län;12;Samtliga;Matematik;107;49;58;76,6;77,6;75,9;9,6;9,7;9,5;90,7;89,1;92,1;
Bromölla;1272;Skåne län;12;Samtliga;Engelska;105;46;59;~100;~100;~100;14,9;14,8;15,0;89,0;83,6;93,7;
Bromölla;1272;Skåne län;12;Samtliga;Svenska som andraspråk;15;..;..;~100;..;..;11,0;..;..;93,8;..;..;
Bromölla;1272;Skåne län;12;Kommunal;Svenska;91;41;50;91,2;~100;..;11,9;13,2;10,8;91,9;89,1;94,3;
Bromölla;1272;Skåne län;12;Kommunal;Matematik;107;49;58;76,6;77,6;75,9;9,6;9,7;9,5;90,7;89,1;92,1;
Bromölla;1272;Skåne län;12;Kommunal;Engelska;105;46;59;~100;~100;~100;14,9;14,8;15,0;89,0;83,6;93,7;
Bromölla;1272;Skåne län;12;Kommunal;Svenska som andraspråk;15;..;..;~100;..;..;11,0;..;..;93,8;..;..;
Bräcke;2305;Jämtlands län;23;Samtliga;Svenska;46;21;25;~100;100,0;~100;13,3;14,9;12,0;90,2;95,5;86,2;
Bräcke;2305;Jämtlands län;23;Samtliga;Matematik;54;26;28;88,9;~100;~100;10,8;11,2;10,5;90,0;92,9;87,5;
Bräcke;2305;Jämtlands län;23;Samtliga;Engelska;56;26;30;~100;100,0;~100;15,3;15,9;14,8;93,3;92,9;93,8;
Bräcke;2305;Jämtlands län;23;Samtliga;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Bräcke;2305;Jämtlands län;23;Kommunal;Svenska;46;21;25;~100;100,0;~100;13,3;14,9;12,0;90,2;95,5;86,2;
Bräcke;2305;Jämtlands län;23;Kommunal;Matematik;54;26;28;88,9;~100;~100;10,8;11,2;10,5;90,0;92,9;87,5;
Bräcke;2305;Jämtlands län;23;Kommunal;Engelska;56;26;30;~100;100,0;~100;15,3;15,9;14,8;93,3;92,9;93,8;
Bräcke;2305;Jämtlands län;23;Kommunal;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Burlöv;1231;Skåne län;12;Samtliga;Svenska;108;58;50;90,7;~100;..;12,9;14,1;11,5;93,1;95,1;90,9;
Burlöv;1231;Skåne län;12;Samtliga;Matematik;151;74;77;79,5;79,7;79,2;10,3;10,2;10,4;89,3;92,5;86,5;
Burlöv;1231;Skåne län;12;Samtliga;Engelska;149;73;76;~100;~100;~100;15,3;15,9;14,7;88,2;91,3;85,4;
Burlöv;1231;Skåne län;12;Samtliga;Svenska som andraspråk;44;15;29;75,0;~100;..;9,0;11,0;8,0;83,0;78,9;85,3;
Burlöv;1231;Skåne län;12;Kommunal;Svenska;108;58;50;90,7;~100;..;12,9;14,1;11,5;93,1;95,1;90,9;
Burlöv;1231;Skåne län;12;Kommunal;Matematik;151;74;77;79,5;79,7;79,2;10,3;10,2;10,4;89,3;92,5;86,5;
Burlöv;1231;Skåne län;12;Kommunal;Engelska;149;73;76;~100;~100;~100;15,3;15,9;14,7;88,2;91,3;85,4;
Burlöv;1231;Skåne län;12;Kommunal;Svenska som andraspråk;44;15;29;75,0;~100;..;9,0;11,0;8,0;83,0;78,9;85,3;
Båstad;1278;Skåne län;12;Samtliga;Svenska;153;80;73;94,8;~100;..;13,5;14,8;12,2;96,2;96,4;96,1;
Båstad;1278;Skåne län;12;Samtliga;Matematik;161;85;76;87,0;87,1;86,8;11,6;11,4;11,8;94,2;95,5;92,8;
Båstad;1278;Skåne län;12;Samtliga;Engelska;163;86;77;96,9;~100;~100;15,8;15,4;16,1;94,8;96,6;92,8;
Båstad;1278;Skåne län;12;Samtliga;Svenska som andraspråk;11;..;..;..;..;..;5,5;..;..;84,6;..;..;
Båstad;1278;Skåne län;12;Kommunal;Svenska;153;80;73;94,8;~100;..;13,5;14,8;12,2;96,2;96,4;96,1;
Båstad;1278;Skåne län;12;Kommunal;Matematik;161;85;76;87,0;87,1;86,8;11,6;11,4;11,8;94,2;95,5;92,8;
Båstad;1278;Skåne län;12;Kommunal;Engelska;163;86;77;96,9;~100;~100;15,8;15,4;16,1;94,8;96,6;92,8;
Båstad;1278;Skåne län;12;Kommunal;Svenska som andraspråk;11;..;..;..;..;..;5,5;..;..;84,6;..;..;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Matematik;39;19;20;74,4;~100;..;9,9;10,3;9,5;86,7;79,2;95,2;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Engelska;41;22;19;~100;~100;~100;13,8;13,4;14,2;91,1;91,7;90,5;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Svenska;38;19;19;81,6;~100;..;10,6;12,0;9,2;88,4;86,4;90,5;
Dals-Ed;1438;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Svenska som andraspråk;..;..;.;..;..;.;..;..;.;..;..;.;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Svenska;38;19;19;81,6;~100;..;10,6;12,0;9,2;88,4;86,4;90,5;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Matematik;39;19;20;74,4;~100;..;9,9;10,3;9,5;86,7;79,2;95,2;
Dals-Ed;1438;Västra Götalands län;14;Kommunal;Engelska;41;22;19;~100;~100;~100;13,8;13,4;14,2;91,1;91,7;90,5;
Danderyd;0162;Stockholms län;01;Samtliga;Matematik;509;246;263;96,9;98,0;95,8;15,3;15,6;15,1;95,9;96,1;95,6;
Danderyd;0162;Stockholms län;01;Samtliga;Svenska som andraspråk;14;..;..;..;..;..;8,2;..;..;82,4;..;..;
Danderyd;0162;Stockholms län;01;Samtliga;Svenska;491;238;253;99,0;~100;~100;15,2;16,1;14,3;95,5;96,4;94,8;
Danderyd;0162;Stockholms län;01;Samtliga;Engelska;506;243;263;~100;~100;100,0;17,9;17,9;17,9;95,3;94,9;95,6;
Danderyd;0162;Stockholms län;01;Kommunal;Svenska som andraspråk;12;..;..;..;..;..;7,3;..;..;80,0;..;..;
Danderyd;0162;Stockholms län;01;Kommunal;Svenska;315;143;172;~100;~100;100,0;15,0;15,8;14,3;94,3;96,0;93,0;
Danderyd;0162;Stockholms län;01;Kommunal;Engelska;331;149;182;~100;~100;100,0;17,7;17,6;17,7;94,8;94,9;94,8;
Danderyd;0162;Stockholms län;01;Kommunal;Matematik;334;151;183;95,2;96,7;94,0;14,7;14,9;14,5;95,7;96,2;95,3;
Danderyd;0162;Stockholms län;01;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Danderyd;0162;Stockholms län;01;Enskild;Svenska;176;95;81;~100;100,0;~100;15,5;16,6;14,3;97,8;96,9;98,8;
Danderyd;0162;Stockholms län;01;Enskild;Matematik;175;95;80;100,0;100,0;100,0;16,5;16,6;16,3;96,2;96,0;96,4;
Danderyd;0162;Stockholms län;01;Enskild;Engelska;175;94;81;100,0;100,0;100,0;18,4;18,5;18,3;96,2;94,9;97,6;
Degerfors;1862;Örebro län;18;Samtliga;Svenska som andraspråk;14;..;..;~100;..;..;8,0;..;..;93,3;..;..;
Degerfors;1862;Örebro län;18;Samtliga;Svenska;83;48;35;94,0;~100;~100;12,0;13,0;10,7;86,5;88,9;83,3;
Degerfors;1862;Örebro län;18;Samtliga;Engelska;94;51;43;94,7;~100;~100;14,0;13,2;14,9;84,7;83,6;86,0;
Degerfors;1862;Örebro län;18;Samtliga;Matematik;99;54;45;74,7;66,7;84,4;8,9;8,1;9,9;89,2;88,5;90,0;
Degerfors;1862;Örebro län;18;Kommunal;Matematik;99;54;45;74,7;66,7;84,4;8,9;8,1;9,9;89,2;88,5;90,0;
Degerfors;1862;Örebro län;18;Kommunal;Svenska som andraspråk;14;..;..;~100;..;..;8,0;..;..;93,3;..;..;
Degerfors;1862;Örebro län;18;Kommunal;Engelska;94;51;43;94,7;~100;~100;14,0;13,2;14,9;84,7;83,6;86,0;
Degerfors;1862;Örebro län;18;Kommunal;Svenska;83;48;35;94,0;~100;~100;12,0;13,0;10,7;86,5;88,9;83,3;
Dorotea;2425;Västerbottens län;24;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Dorotea;2425;Västerbottens län;24;Samtliga;Svenska;24;10;14;~100;100,0;~100;11,0;13,0;9,6;92,3;100,0;87,5;
Dorotea;2425;Västerbottens län;24;Samtliga;Matematik;26;10;16;~100;..;~100;11,1;11,8;10,6;96,3;100,0;94,1;
Dorotea;2425;Västerbottens län;24;Samtliga;Engelska;25;..;..;~100;..;~100;14,3;..;13,3;92,6;..;94,1;
Dorotea;2425;Västerbottens län;24;Kommunal;Matematik;26;10;16;~100;..;~100;11,1;11,8;10,6;96,3;100,0;94,1;
Dorotea;2425;Västerbottens län;24;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Dorotea;2425;Västerbottens län;24;Kommunal;Engelska;25;..;..;~100;..;~100;14,3;..;13,3;92,6;..;94,1;
Dorotea;2425;Västerbottens län;24;Kommunal;Svenska;24;10;14;~100;100,0;~100;11,0;13,0;9,6;92,3;100,0;87,5;
Eda;1730;Värmlands län;17;Samtliga;Engelska;71;29;42;91,5;~100;..;14,3;14,9;13,9;95,9;96,7;95,5;
Eda;1730;Värmlands län;17;Samtliga;Svenska som andraspråk;18;..;..;66,7;..;..;8,9;..;8,8;94,7;..;93,3;
Eda;1730;Värmlands län;17;Samtliga;Svenska;52;24;28;88,5;100,0;78,6;12,3;14,8;10,1;94,5;92,3;96,6;
Eda;1730;Värmlands län;17;Samtliga;Matematik;67;28;39;82,1;75,0;87,2;10,3;9,6;10,8;90,5;93,3;88,6;
Eda;1730;Värmlands län;17;Kommunal;Matematik;67;28;39;82,1;75,0;87,2;10,3;9,6;10,8;90,5;93,3;88,6;
Eda;1730;Värmlands län;17;Kommunal;Svenska;52;24;28;88,5;100,0;78,6;12,3;14,8;10,1;94,5;92,3;96,6;
Eda;1730;Värmlands län;17;Kommunal;Svenska som andraspråk;18;..;..;66,7;..;..;8,9;..;8,8;94,7;..;93,3;
Eda;1730;Värmlands län;17;Kommunal;Engelska;71;29;42;91,5;~100;..;14,3;14,9;13,9;95,9;96,7;95,5;
Ekerö;0125;Stockholms län;01;Samtliga;Svenska;364;169;195;96,2;~100;..;13,7;14,7;12,8;92,2;91,4;92,9;
Ekerö;0125;Stockholms län;01;Samtliga;Matematik;386;180;206;87,8;85,0;90,3;12,3;11,9;12,6;91,3;88,2;94,1;
Ekerö;0125;Stockholms län;01;Samtliga;Svenska som andraspråk;21;..;..;61,9;..;..;6,5;6,1;..;75,0;73,7;..;
Ekerö;0125;Stockholms län;01;Samtliga;Engelska;381;178;203;~100;~100;100,0;16,3;16,0;16,5;90,1;87,3;92,7;
Ekerö;0125;Stockholms län;01;Kommunal;Svenska;339;160;179;96,5;~100;..;13,6;14,7;12,7;92,6;93,0;92,3;
Ekerö;0125;Stockholms län;01;Kommunal;Svenska som andraspråk;21;..;..;61,9;..;..;6,5;6,1;..;77,8;77,8;..;
Ekerö;0125;Stockholms län;01;Kommunal;Engelska;353;166;187;100,0;100,0;100,0;16,4;16,2;16,5;89,8;87,4;92,1;
Ekerö;0125;Stockholms län;01;Kommunal;Matematik;361;171;190;87,5;84,2;90,5;12,3;11,8;12,7;91,9;90,0;93,6;
Ekerö;0125;Stockholms län;01;Enskild;Svenska;25;..;..;~100;..;~100;14,5;..;13,9;86,2;..;100,0;
Ekerö;0125;Stockholms län;01;Enskild;Engelska;28;12;16;~100;~100;100,0;15,4;13,1;17,0;93,3;85,7;100,0;
Ekerö;0125;Stockholms län;01;Enskild;Matematik;25;..;..;~100;..;~100;12,6;..;11,6;83,3;..;100,0;
Eksjö;0686;Jönköpings län;06;Samtliga;Svenska;149;78;71;95,3;~100;~100;13,9;14,6;13,1;89,8;91,8;87,7;
Eksjö;0686;Jönköpings län;06;Samtliga;Svenska som andraspråk;38;16;22;76,3;~100;..;9,6;11,4;8,3;80,9;76,2;84,6;
Eksjö;0686;Jönköpings län;06;Samtliga;Matematik;187;94;93;80,7;81,9;79,6;11,1;11,0;11,1;87,8;88,7;86,9;
Eksjö;0686;Jönköpings län;06;Samtliga;Engelska;184;95;89;95,7;~100;~100;14,9;14,8;15,1;86,4;89,6;83,2;
Eksjö;0686;Jönköpings län;06;Kommunal;Svenska som andraspråk;36;15;21;77,8;~100;..;9,8;11,3;8,7;80,0;75,0;84,0;
Eksjö;0686;Jönköpings län;06;Kommunal;Svenska;147;78;69;95,9;~100;~100;14,0;14,6;13,3;91,9;91,8;92,0;
Eksjö;0686;Jönköpings län;06;Kommunal;Matematik;182;93;89;80,2;81,7;78,7;11,1;11,0;11,1;88,8;88,6;89,0;
Eksjö;0686;Jönköpings län;06;Kommunal;Engelska;180;94;86;96,7;~100;~100;15,1;14,9;15,4;87,8;89,5;86,0;
Eksjö;0686;Jönköpings län;06;Enskild;Engelska;..;..;..;..;..;..;..;..;..;..;..;..;
Eksjö;0686;Jönköpings län;06;Enskild;Matematik;..;..;..;..;..;..;..;..;..;..;..;..;
Eksjö;0686;Jönköpings län;06;Enskild;Svenska;..;.;..;..;.;..;..;.;..;..;.;..;
Eksjö;0686;Jönköpings län;06;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Emmaboda;0862;Kalmar län;08;Samtliga;Svenska;80;35;45;90,0;100,0;82,2;12,1;14,7;10,0;95,2;100,0;91,8;
Emmaboda;0862;Kalmar län;08;Samtliga;Matematik;93;43;50;81,7;~100;..;10,0;11,3;8,9;86,9;89,6;84,7;
Emmaboda;0862;Kalmar län;08;Samtliga;Engelska;95;44;51;90,5;~100;..;13,6;14,4;13,0;88,8;91,7;86,4;
Emmaboda;0862;Kalmar län;08;Samtliga;Svenska som andraspråk;22;12;10;59,1;~100;..;7,2;11,3;2,3;100,0;100,0;100,0;
Emmaboda;0862;Kalmar län;08;Kommunal;Svenska;80;35;45;90,0;100,0;82,2;12,1;14,7;10,0;95,2;100,0;91,8;
Emmaboda;0862;Kalmar län;08;Kommunal;Matematik;93;43;50;81,7;~100;..;10,0;11,3;8,9;86,9;89,6;84,7;
Emmaboda;0862;Kalmar län;08;Kommunal;Engelska;95;44;51;90,5;~100;..;13,6;14,4;13,0;88,8;91,7;86,4;
Emmaboda;0862;Kalmar län;08;Kommunal;Svenska som andraspråk;22;12;10;59,1;~100;..;7,2;11,3;2,3;100,0;100,0;100,0;
Enköping;0381;Uppsala län;03;Samtliga;Svenska;474;253;221;93,5;97,6;88,7;12,8;14,0;11,5;88,6;89,4;87,7;
Enköping;0381;Uppsala län;03;Samtliga;Matematik;544;286;258;82,2;81,1;83,3;10,6;10,5;10,7;90,1;90,5;89,6;
Enköping;0381;Uppsala län;03;Samtliga;Engelska;548;290;258;97,3;97,6;96,9;15,6;15,6;15,5;90,7;91,8;89,6;
Enköping;0381;Uppsala län;03;Samtliga;Svenska som andraspråk;63;30;33;74,6;83,3;66,7;9,1;10,4;8,0;91,3;90,9;91,7;
Enköping;0381;Uppsala län;03;Kommunal;Svenska som andraspråk;58;29;29;74,1;82,8;65,5;9,0;10,3;7,8;90,6;90,6;90,6;
Enköping;0381;Uppsala län;03;Kommunal;Engelska;387;204;183;96,9;97,1;96,7;15,2;15,1;15,3;90,2;90,7;89,7;
Enköping;0381;Uppsala län;03;Kommunal;Matematik;385;204;181;81,6;79,9;83,4;10,4;10,1;10,6;89,7;90,7;88,7;
Enköping;0381;Uppsala län;03;Kommunal;Svenska;323;172;151;94,4;~100;..;12,9;14,1;11,6;88,5;89,1;87,8;
Enköping;0381;Uppsala län;03;Enskild;Svenska som andraspråk;..;..;..;..;..;..;..;..;..;..;..;..;
Enköping;0381;Uppsala län;03;Enskild;Svenska;151;81;70;91,4;93,8;88,6;12,6;13,7;11,3;88,8;90,0;87,5;
Enköping;0381;Uppsala län;03;Enskild;Engelska;161;86;75;~100;~100;~100;16,4;16,9;15,9;92,0;94,5;89,3;
Enköping;0381;Uppsala län;03;Enskild;Matematik;159;82;77;83,6;84,1;83,1;11,2;11,6;10,7;90,9;90,1;91,7;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Engelska;1 232;611;621;96,6;96,1;97,1;15,4;15,2;15,6;90,3;90,8;89,7;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Svenska som andraspråk;252;113;139;78,2;77,0;79,1;9,4;9,6;9,3;88,0;91,9;85,0;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Svenska;989;507;482;96,3;97,2;95,2;13,6;14,2;12,9;92,1;92,3;91,8;
Eskilstuna;0484;Södermanlands län;04;Samtliga;Matematik;1 216;607;609;83,1;82,5;83,6;10,7;10,5;10,9;89,1;90,2;88,0;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Svenska;755;370;385;95,5;96,5;94,5;13,4;14,0;12,7;90,4;90,7;90,2;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Matematik;922;448;474;79,6;79,0;80,2;10,2;9,9;10,4;87,2;88,7;85,9;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Engelska;935;450;485;95,6;94,7;96,5;15,0;14,7;15,2;88,5;89,1;87,9;
Eskilstuna;0484;Södermanlands län;04;Kommunal;Svenska som andraspråk;183;86;97;72,1;70,9;73,2;8,7;9,0;8,5;84,2;89,7;80,0;
Eskilstuna;0484;Södermanlands län;04;Enskild;Engelska;297;161;136;~100;100,0;~100;16,7;16,7;16,8;96,4;95,8;97,1;
Eskilstuna;0484;Södermanlands län;04;Enskild;Matematik;294;159;135;93,9;92,5;95,6;12,4;12,1;12,8;95,5;94,6;96,4;
Eskilstuna;0484;Södermanlands län;04;Enskild;Svenska som andraspråk;69;27;42;~100;~100;~100;11,3;11,7;11,0;100,0;100,0;100,0;
Eskilstuna;0484;Södermanlands län;04;Enskild;Svenska;234;137;97;~100;~100;~100;14,3;14,9;13,5;97,9;97,2;99,0;
Eslöv;1285;Skåne län;12;Samtliga;Svenska;272;139;133;93,4;~100;..;12,7;13,7;11,7;88,6;90,3;86,9;
Eslöv;1285;Skåne län;12;Samtliga;Svenska som andraspråk;82;33;49;85,4;~100;..;10,1;10,8;9,5;89,1;94,3;86,0;
Eslöv;1285;Skåne län;12;Samtliga;Matematik;351;167;184;77,8;77,2;78,3;10,3;10,0;10,5;88,0;88,4;87,6;
Eslöv;1285;Skåne län;12;Samtliga;Engelska;345;167;178;98,3;~100;~100;15,4;15,3;15,5;86,5;88,4;84,8;
Eslöv;1285;Skåne län;12;Kommunal;Matematik;351;167;184;77,8;77,2;78,3;10,3;10,0;10,5;88,0;88,4;87,6;
Eslöv;1285;Skåne län;12;Kommunal;Svenska som andraspråk;82;33;49;85,4;~100;..;10,1;10,8;9,5;89,1;94,3;86,0;
Eslöv;1285;Skåne län;12;Kommunal;Svenska;272;139;133;93,4;~100;..;12,7;13,7;11,7;88,6;90,3;86,9;
Eslöv;1285;Skåne län;12;Kommunal;Engelska;345;167;178;98,3;~100;~100;15,4;15,3;15,5;86,5;88,4;84,8;
Essunga;1445;Västra Götalands län;14;Samtliga;Engelska;64;24;40;~100;~100;~100;14,4;14,7;14,2;90,1;82,8;95,2;
Essunga;1445;Västra Götalands län;14;Samtliga;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Essunga;1445;Västra Götalands län;14;Samtliga;Matematik;59;22;37;78,0;~100;..;9,8;11,0;9,1;83,1;75,9;88,1;
Essunga;1445;Västra Götalands län;14;Samtliga;Svenska;56;22;34;~100;~100;~100;12,0;13,4;11,0;83,8;79,3;87,2;
Essunga;1445;Västra Götalands län;14;Kommunal;Engelska;64;24;40;~100;~100;~100;14,4;14,7;14,2;90,1;82,8;95,2;
Essunga;1445;Västra Götalands län;14;Kommunal;Matematik;59;22;37;78,0;~100;..;9,8;11,0;9,1;83,1;75,9;88,1;
Essunga;1445;Västra Götalands län;14;Kommunal;Svenska;56;22;34;~100;~100;~100;12,0;13,4;11,0;83,8;79,3;87,2;
Essunga;1445;Västra Götalands län;14;Kommunal;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Fagersta;1982;Västmanlands län;19;Samtliga;Svenska;96;48;48;~100;~100;100,0;14,3;15,2;13,4;88,1;87,3;88,9;
Fagersta;1982;Västmanlands län;19;Samtliga;Matematik;141;65;76;76,6;78,5;75,0;9,9;10,4;9,6;86,0;82,3;89,4;
Fagersta;1982;Västmanlands län;19;Samtliga;Engelska;140;69;71;~100;~100;~100;15,2;15,4;15,0;85,4;87,3;83,5;
Fagersta;1982;Västmanlands län;19;Samtliga;Svenska som andraspråk;47;20;27;89,4;~100;~100;11,6;12,6;10,9;85,5;83,3;87,1;
Fagersta;1982;Västmanlands län;19;Kommunal;Svenska som andraspråk;43;20;23;88,4;~100;~100;11,4;12,6;10,3;84,3;83,3;85,2;
Fagersta;1982;Västmanlands län;19;Kommunal;Svenska;84;46;38;~100;~100;100,0;14,2;15,1;13,2;88,4;86,8;90,5;
Fagersta;1982;Västmanlands län;19;Kommunal;Matematik;125;63;62;75,2;77,8;72,6;9,6;10,3;8,8;85,6;81,8;89,9;
Fagersta;1982;Västmanlands län;19;Kommunal;Engelska;124;67;57;~100;~100;~100;15,1;15,3;14,9;84,9;87,0;82,6;
Fagersta;1982;Västmanlands län;19;Enskild;Svenska;12;..;..;100,0;..;100,0;14,8;..;14,3;85,7;..;83,3;
Fagersta;1982;Västmanlands län;19;Enskild;Svenska som andraspråk;..;.;..;..;.;..;..;.;..;..;.;..;
Fagersta;1982;Västmanlands län;19;Enskild;Matematik;16;..;..;~100;..;~100;13,0;..;12,9;88,9;..;87,5;
Fagersta;1982;Västmanlands län;19;Enskild;Engelska;16;..;..;100,0;..;100,0;15,5;..;15,2;88,9;..;87,5;
Falkenberg;1382;Hallands län;13;Samtliga;Svenska;440;226;214;90,9;96,0;85,5;12,3;13,8;10,8;93,0;93,4;92,6;
Falkenberg;1382;Hallands län;13;Samtliga;Matematik;521;259;262;83,9;85,7;82,1;11,1;11,5;10,7;92,9;90,2;95,6;
Falkenberg;1382;Hallands län;13;Samtliga;Engelska;524;265;259;96,2;95,8;96,5;14,7;14,7;14,8;93,4;92,3;94,5;
Falkenberg;1382;Hallands län;13;Samtliga;Svenska som andraspråk;77;38;39;77,9;78,9;76,9;9,4;10,2;8,6;87,5;84,4;90,7;
Falkenberg;1382;Hallands län;13;Kommunal;Engelska;426;223;203;95,5;95,5;95,6;14,5;14,5;14,5;92,8;91,8;94,0;
Falkenberg;1382;Hallands län;13;Kommunal;Matematik;422;217;205;80,6;83,9;77,1;10,6;11,2;9,9;91,9;89,3;94,9;
Falkenberg;1382;Hallands län;13;Kommunal;Svenska som andraspråk;77;38;39;77,9;78,9;76,9;9,4;10,2;8,6;87,5;84,4;90,7;
Falkenberg;1382;Hallands län;13;Kommunal;Svenska;346;187;159;89,0;95,2;81,8;11,9;13,5;10,1;93,3;94,4;91,9;
Falkenberg;1382;Hallands län;13;Enskild;Matematik;99;42;57;~100;~100;100,0;13,5;13,3;13,6;97,1;95,5;98,3;
Falkenberg;1382;Hallands län;13;Enskild;Engelska;98;42;56;~100;~100;100,0;15,5;15,2;15,7;96,1;95,5;96,6;
Falkenberg;1382;Hallands län;13;Enskild;Svenska;94;39;55;~100;100,0;~100;13,7;15,1;12,7;92,2;88,6;94,8;
